 Year ; Cultura ; Crop ; Region ; Council ; Distrito ; Nut2 ; Nut3 ;TSI;Pre;StateSupport
2021;pêra; pear ;B;Rio Maior; Santarém ; Alentejo ; Lezíria do Tejo ;687327.00;37626.02;21650.80
2021;pêra; pear ;C;Aljustrel; Beja ; Alentejo ; Baixo Alentejo ;144517.50;15159.89;9095.93
2021;pêra; pear ;C;Batalha; Leiria ; Região do Centro ; Região de Leiria ;19103.07;1917.49;1150.68
2021;pêra; pear ;C;Campo Maior; Portalegre ; Alentejo ; Alto Alentejo ;757260.00;83071.42;47661.94
2021;pêra; pear ;C;Cartaxo; Santarém ; Alentejo ; Lezíria do Tejo ;87444.00;6995.52;4197.30
2021;pêra; pear ;C;Elvas; Portalegre ; Alentejo ; Alto Alentejo ;828.00;90.83;52.11
2021;pêra; pear ;C;Ferreira do Alentejo; Beja ; Alentejo ; Baixo Alentejo ;560244.00;58769.60;35261.76
2021;pêra; pear ;C;Portalegre; Portalegre ; Alentejo ; Alto Alentejo ;7817.50;820.05;492.03
2021;pêra; pear ;D;Armamar; Viseu ; Região do Norte ; Douro ;113816.25;29341.79;16396.37
2021;pêra; pear ;D;Belmonte; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;48921.25;11959.05;7047.59
2021;pêra; pear ;D;Covilhã; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;239998.75;59407.18;34574.21
2021;pêra; pear ;D;Fundão; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;118776.25;28940.31;17110.90
2021;pêra; pear ;D;Gouveia; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;36072.50;9270.44;5196.60
2021;pêra; pear ;D;Lamego; Viseu ; Região do Norte ; Douro ;254380.00;66342.27;36646.00
2021;pêra; pear ;D;Mangualde; Viseu ; Região do Centro ; Viseu Dão Lafões ;5522.50;1706.09;795.57
2021;pêra; pear ;D;Nelas; Viseu ; Região do Centro ; Viseu Dão Lafões ;360.00;101.41;51.86
2021;pêra; pear ;D;Oliveira do Hospital; Coimbra ; Região do Centro ; Região de Coimbra ;5019.45;1252.26;715.22
2021;pêra; pear ;D;Resende; Viseu ; Região do Norte ; Tâmega e Sousa ;12855.00;3314.02;1851.89
2021;pêra; pear ;D;Sabugal; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;61727.50;15561.51;8892.47
2021;pêra; pear ;D;São João da Pesqueira; Viseu ; Região do Norte ; Douro ;5805.00;1541.80;836.28
2021;pêra; pear ;D;Seia; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;11930.10;3255.21;1718.66
2021;pêra; pear ;D;Tábua; Coimbra ; Região do Centro ; Região de Coimbra ;32902.50;10051.72;4739.94
2021;pêra; pear ;D;Tabuaço; Viseu ; Região do Norte ; Douro ;8160.00;2103.64;1175.53
2021;pêra; pear ;D;Tondela; Viseu ; Região do Centro ; Viseu Dão Lafões ;3675.00;1035.25;529.42
2021;pêra; pear ;D;Valpaços; Vila Real ; Região do Norte ; Alto Tâmega ;13125.00;4285.31;1890.79
2021;pêra; pear ;D;Vila Flôr; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;3270.00;836.79;471.08
2021;pêra; pear ;D;Viseu; Viseu ; Região do Centro ; Viseu Dão Lafões ;630.00;177.47;90.76
2021;pêra; pear ;D;Vouzela; Viseu ; Região do Centro ; Viseu Dão Lafões ;3525.00;993.00;507.82
2021;pêra; pear ;E;Aguiar da Beira; Guarda ; Região do Centro ; Viseu Dão Lafões ;2272.50;734.47;405.23
2021;pêra; pear ;E;Carrazeda de Ansiães; Bragança ; Região do Norte ; Douro ;102890.01;32165.37;18202.26
2021;pêra; pear ;E;Fornos de Algodres; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;9600.00;3057.60;1711.88
2021;pêra; pear ;E;Guarda; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;117255.00;36243.52;20908.96
2021;pêra; pear ;E;Moimenta da Beira; Viseu ; Região do Norte ; Douro ;54120.00;17544.76;9650.70
2021;pêra; pear ;E;Penalva do Castelo; Viseu ; Região do Centro ; Viseu Dão Lafões ;10117.50;3156.51;1804.15
2021;pêra; pear ;E;Pinhel; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;34552.50;10680.18;6161.40
2021;pêra; pear ;E;Sernancelhe; Viseu ; Região do Norte ; Douro ;18900.00;6327.24;3370.25
2021;pêra; pear ;E;Tarouca; Viseu ; Região do Norte ; Douro ;153392.50;49334.54;27352.96
2021;pêra; pear ;E;Trancoso; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;48101.25;14868.09;8577.42
2021;pêra; pear ;Interior Norte;Lamego; Viseu ; Região do Norte ; Douro ;37107.00;7193.37;3410.86
2021;pêssego; peach ;B;Alcobaça; Leiria ; Região do Centro ; Oeste ;18545.95;992.21;584.20
2021;pêssego; peach ;B;Azambuja; Lisboa ; Alentejo ; Lezíria do Tejo ;2965.50;147.93;88.78
2021;pêssego; peach ;B;Bombarral; Leiria ; Região do Centro ; Oeste ;1008.00;52.92;31.75
2021;pêssego; peach ;B;Óbidos; Leiria ; Região do Centro ; Oeste ;715.00;37.54;22.52
2021;pêssego; peach ;B;Vila Franca de Xira; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;2610.00;130.21;78.14
2021;pêssego; peach ;C;Aljustrel; Beja ; Alentejo ; Baixo Alentejo ;453328.00;47554.23;28532.47
2021;pêssego; peach ;C;Batalha; Leiria ; Região do Centro ; Região de Leiria ;600.00;62.94;37.76
2021;pêssego; peach ;C;Coruche; Santarém ; Alentejo ; Lezíria do Tejo ;49800.00;5542.75;3134.41
2021;pêssego; peach ;C;Ferreira do Alentejo; Beja ; Alentejo ; Baixo Alentejo ;198280.00;20799.57;12479.74
2021;pêssego; peach ;C;Mora; Évora ; Alentejo ; Alentejo Central ;564870.35;59254.90;35552.94
2021;pêssego; peach ;C;Santarém; Santarém ; Alentejo ; Lezíria do Tejo ;110844.00;11392.61;6836.12
2021;pêssego; peach ;D;Belmonte; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;715423.00;175810.35;103063.80
2021;pêssego; peach ;D;Castelo Branco; Castelo Branco ; Região do Centro ; Beira Baixa ;522776.00;125518.42;75311.11
2021;pêssego; peach ;D;Covilhã; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;1374061.00;336227.48;197947.20
2021;pêssego; peach ;D;Fundão; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;2693686.00;670386.83;388052.32
2021;pêssego; peach ;D;Gouveia; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;3108.00;783.53;447.74
2021;pêssego; peach ;D;Idanha-a-Nova; Castelo Branco ; Região do Centro ; Beira Baixa ;8073.00;1938.32;1162.99
2021;pêssego; peach ;D;Penamacor; Castelo Branco ; Região do Centro ; Beira Baixa ;1072.00;257.39;154.43
2021;pêssego; peach ;D;Sabugal; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;186102.50;46845.22;26809.92
2021;pêssego; peach ;D;Vila Flôr; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;293190.00;76551.88;42236.89
2021;pêssego; peach ;E;Celorico da Beira; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;2772.00;856.83;494.31
